state,$default,$end,'!','%','&','(',')','*','+',"','",'-','.','/',':',';','<','=','>','[',']','^','{','|','}','~',ADD_ASSIGN,ALIGNAS,ALIGNOF,AND_ASSIGN,AND_OP,ATOMIC,AUTO,BOOL,BREAK,CASE,CHAR,COMPLEX,CONST,CONTINUE,DEC_OP,DEFAULT,DIV_ASSIGN,DO,DOUBLE,ELIF,ELLIPSIS,ELSE,ENUM,ENUMERATION_CONSTANT,EQ_OP,EXCEPT,EXTERN,FLOAT,FOR,FOREACH,FUNC_NAME,F_CONSTANT,GENERIC,GE_OP,GOTO,IDENTIFIER,IF,IMAGINARY,IN,INC_OP,INLINE,INT,I_CONSTANT,LEFT_ASSIGN,LEFT_OP,LE_OP,LONG,LOWER_THAN_ELSE,MOD_ASSIGN,MUL_ASSIGN,NE_OP,NORETURN,OR_ASSIGN,OR_OP,PASS,PRINT,PTR_OP,RANGE,REGISTER,RESTRICT,RETURN,RIGHT_ASSIGN,RIGHT_OP,SHORT,SIGNED,SIZEOF,STATIC,STATIC_ASSERT,STRING_LITERAL,STRUCT,SUB_ASSIGN,SWITCH,THREAD_LOCAL,TH_OP,TRY,TYPEDEF,TYPEDEF_NAME,UNION,UNSIGNED,VOID,VOLATILE,WHILE,XOR_ASSIGN,error
336,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,,,r227,r227,r227,,r227,,r227,,r227,r227,r227,,r227,r227,r227,r227,r227,r227,,r227,r227,r227,r227,r227,,r227,,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,,r227,r227,r227,r227,r227,r227,r227,r227,r227,r227,,r227,r227,r227,r227,r227,r227,r227,r227,r227,,r227,r227
337,,,,,,,,,,s407,,,,,,,,,,,,,,s408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,s92,,s87,s86,,s88,s89,,s90,,,,,,,,,,,s228,,,s91,,,s84,,,,,,,,,,,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,,s74,,,,,,,,,,s80,,,s78,,,,,,,,,,,,,,,
339,,,,,,,,,,,,s335,,,,,s410,,s334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,,,r231,r231,r231,,r231,,r231,,r231,r231,r231,,r231,r231,r231,r231,r231,r231,,r231,r231,r231,r231,r231,,r231,,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,,r231,r231,r231,r231,r231,r231,r231,r231,r231,r231,,r231,r231,r231,r231,r231,r231,r231,r231,r231,,r231,r231
341,,,,,,s341,s303,s53,,,,,,,,,,,s186,,,,,,,,s26,,,,s27,s5,s11,,,s12,s21,s8,,,,,,s19,,,,s25,,,,s3,s18,,,,,,,,s51,,s22,,,s7,s14,,,,,s15,,,,,s28,,,,,,,s6,s9,,,,s13,s16,,s4,,,s23,,,s30,,,s2,s1,s24,s17,s20,s10,,,
342,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,,,r192,r192,r192,,r192,,r192,,r192,r192,r192,,r192,r192,r192,r192,r192,r192,,r192,r192,r192,r192,r192,,r192,,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,,r192,r192,r192,r192,r192,r192,r192,r192,r192,r192,,r192,r192,r192,r192,r192,r192,r192,r192,r192,,r192,r192
343,r200,r200,r200,r200,r200,s341,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,s186,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,,,r200,r200,r200,,r200,,r200,,r200,r200,r200,,r200,r200,r200,r200,r200,r200,,r200,r200,r200,r200,r200,,s51,,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,,r200,r200,r200,r200,r200,r200,r200,r200,r200,r200,,r200,r200,r200,r200,r200,r200,r200,r200,r200,,r200,r200
344,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,,,r193,r193,r193,,r193,,r193,,r193,r193,r193,,r193,r193,r193,r193,r193,r193,,r193,r193,r193,r193,r193,,r193,,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,,r193,r193,r193,r193,r193,r193,r193,r193,r193,r193,,r193,r193,r193,r193,r193,r193,r193,r193,r193,,r193,r193
345,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,,,r179,r179,r179,,r179,,r179,,r179,r179,r179,,r179,r179,r179,r179,r179,r179,,r179,r179,r179,r179,r179,,r179,,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,,r179,r179,r179,r179,r179,r179,r179,r179,r179,r179,,r179,r179,r179,r179,r179,r179,r179,r179,r179,,r179,r179
346,,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,s27,s5,s11,,,s12,s21,s8,,,,,,s19,,s412,,s25,,,,s3,s18,,,,,,,,,,s22,,,s7,s14,,,,,s15,,,,,s28,,,,,,,s6,s9,,,,s13,s16,,s4,,,s23,,,s30,,,s2,s1,s24,s17,s20,s10,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,,,r181,r181,r181,,r181,,r181,,r181,r181,r181,,r181,r181,r181,r181,r181,r181,,r181,r181,r181,r181,r181,,r181,,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,,r181,r181,r181,r181,r181,r181,r181,r181,r181,r181,,r181,r181,r181,r181,r181,r181,r181,r181,r181,,r181,r181
349,,,,,,,,,,,,,,,,,,,,s415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,s92,,s87,s86,,s88,s89,,s90,,,,,,,,,,,,,,s91,,,s84,,,s120,,,,,,,s8,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,,s74,,,,s9,,,,,,s80,,,s78,,,,,,,,,,,,s10,,,
351,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,,,r171,r171,r171,,r171,,r171,,r171,r171,r171,,r171,r171,r171,r171,r171,r171,,r171,r171,r171,r171,r171,,r171,,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,,r171,r171,r171,r171,r171,r171,r171,r171,r171,r171,,r171,r171,r171,r171,r171,r171,r171,r171,r171,,r171,r171
352,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,,,r178,r178,r178,,r178,,r178,,r178,r178,r178,,r178,r178,r178,r178,r178,r178,,r178,r178,r178,r178,r178,,r178,,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,,r178,r178,r178,r178,r178,r178,r178,r178,r178,r178,,r178,r178,r178,r178,r178,r178,r178,r178,r178,,r178,r178
353,,,s92,,s87,s86,,s88,s89,,s90,,,,,,,,,,,,,,s91,,,s84,,,,,,,,,,,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,,s74,,,,,,,,,,s80,,,s78,,,,,,,,,,,,,,,
354,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,,,r177,r177,r177,,r177,,r177,,r177,r177,r177,,r177,r177,r177,r177,r177,r177,,r177,r177,r177,r177,r177,,r177,,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,,r177,r177,r177,r177,r177,r177,r177,r177,r177,r177,,r177,r177,r177,r177,r177,r177,r177,r177,r177,,r177,r177
355,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,s418,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,,r37,r37,r37,,r37,,r37,,r37,r37,r37,,r37,r37,r37,r37,r37,r37,,r37,r37,r37,r37,r37,,r37,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,r37,r37,r37,r37,r37,r37,r37,r37,r37,,r37,r37
356,,,,,,,,,,,,,,,,,,,,s419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,,,r130,r130,r130,,r130,,r130,,r130,r130,r130,,r130,r130,r130,r130,r130,r130,,r130,r130,r130,r130,r130,,r130,,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,,r130,r130,r130,r130,r130,r130,r130,r130,r130,r130,,r130,r130,r130,r130,r130,r130,r130,r130,r130,,r130,r130
358,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,,,r145,r145,r145,,r145,,r145,,r145,r145,r145,,r145,r145,r145,r145,r145,r145,,r145,r145,r145,r145,r145,,r145,,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,,r145,r145,r145,r145,r145,r145,r145,r145,r145,r145,,r145,r145,r145,r145,r145,r145,r145,r145,r145,,r145,r145
359,,,,,,s52,,s53,,,,,,s248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,,,r137,r137,r137,,r137,,r137,,r137,r137,r137,,r137,r137,r137,r137,r137,r137,,r137,r137,r137,r137,r137,,r137,,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,,r137,r137,r137,r137,r137,r137,r137,r137,r137,r137,,r137,r137,r137,r137,r137,r137,r137,r137,r137,,r137,r137
361,,,s92,,s87,s86,,s88,s89,,s90,,,,,,,,,,,,,,s91,,,s84,,,,,,,,,,,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,,s74,,,,,,,,,,s80,,,s78,,,,,,,,,,,,,,,
362,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,,,r151,r151,r151,,r151,,r151,,r151,r151,r151,,r151,r151,r151,r151,r151,r151,,r151,r151,r151,r151,r151,,r151,,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,,r151,r151,r151,r151,r151,r151,r151,r151,r151,r151,,r151,r151,r151,r151,r151,r151,r151,r151,r151,,r151,r151
363,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,,,r28,r28,r28,,r28,,r28,,r28,r28,r28,,r28,r28,r28,r28,r28,r28,,r28,r28,r28,r28,r28,,r28,,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,,r28,r28,r28,r28,r28,r28,r28,r28,r28,,r28,r28
364,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,s370,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,,,r34,r34,r34,,r34,,r34,,r34,r34,r34,,r34,r34,r34,r34,r34,r34,,r34,r34,r34,r34,r34,,r34,,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,,r34,r34,r34,r34,r34,r34,r34,r34,r34,,r34,r34
365,,,,,,,,,,,,,,,,,,,,,,s370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,,r35,r35,r35,,r35,,r35,,r35,r35,r35,,r35,r35,r35,r35,r35,r35,,r35,r35,r35,r35,r35,,r35,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,r35,r35,r35,r35,r35,r35,r35,r35,r35,,r35,r35
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s27,,s11,,,s12,s21,s8,,,s422,,,s19,,,,s25,,,,,s18,,,,,,,,,,s22,,,,s14,,,,,s15,,,,,,,,,,,,,s9,,,,s13,s16,,,,,s23,,,,,,,s1,s24,s17,s20,s10,,,
368,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,r75,r75,r75,,r75,,r75,,r75,r75,r75,,r75,r75,r75,r75,r75,r75,,r75,r75,r75,r75,r75,,r75,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,r75,r75,r75,r75,r75,r75,r75,r75,r75,,r75,r75
369,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,,,r88,r88,r88,,r88,,r88,,r88,r88,r88,,r88,r88,r88,r88,r88,r88,,r88,r88,r88,r88,r88,,r88,,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,,r88,r88,r88,r88,r88,r88,r88,r88,r88,r88,,r88,r88,r88,r88,r88,r88,r88,r88,r88,,r88,r88
370,,,s92,,s87,s86,,s88,s89,,s90,s335,,,,,,,s334,,,s228,,,s91,,,s84,,,,,,,,,,,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,,s74,,,,,,,,,,s80,,,s78,,,,,,,,,,,,,,,
371,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,r43,r43,r43,,r43,,r43,,r43,r43,r43,,r43,r43,r43,r43,r43,r43,,r43,r43,r43,r43,r43,,r43,,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,r43,r43,r43,r43,r43,r43,r43,r43,r43,,r43,r43
372,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,,,r20,r20,r20,,r20,,r20,,r20,r20,r20,,r20,r20,r20,r20,r20,r20,,r20,r20,r20,r20,r20,,r20,,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,,r20,r20,r20,r20,r20,r20,r20,r20,r20,,r20,r20
373,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,,,r18,r18,r18,,r18,,r18,,r18,r18,r18,,r18,r18,r18,r18,r18,r18,,r18,r18,r18,r18,r18,,r18,,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,,r18,r18,r18,r18,r18,r18,r18,r18,r18,,r18,r18
374,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,,,r220,r220,r220,,r220,,r220,,r220,r220,r220,,r220,r220,r220,r220,r220,r220,,r220,r220,r220,r220,r220,,r220,,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,,r220,r220,r220,r220,r220,r220,r220,r220,r220,r220,,r220,r220,r220,r220,r220,r220,r220,r220,r220,,r220,r220
375,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,,,r202,r202,r202,,r202,,r202,,r202,r202,r202,,r202,r202,r202,r202,r202,r202,,r202,r202,r202,r202,r202,,r202,,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,,r202,r202,r202,r202,r202,r202,r202,r202,r202,r202,,r202,r202,r202,r202,r202,r202,r202,r202,r202,,r202,r202
376,,,,,,,,,,,,,,,,,,,,s427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,s92,,s87,s86,,s88,s89,,s90,,,,,,,,,,,,,,s91,,,s84,,,s120,,,,,,,s8,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,,s74,,,,s9,,,,,,s80,,,s78,,,,,,,,,,,,s10,,,
378,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,,,r204,r204,r204,,r204,,r204,,r204,r204,r204,,r204,r204,r204,r204,r204,r204,,r204,r204,r204,r204,r204,,r204,,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,,r204,r204,r204,r204,r204,r204,r204,r204,r204,r204,,r204,r204,r204,r204,r204,r204,r204,r204,r204,,r204,r204
379,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,,,r210,r210,r210,,r210,,r210,,r210,r210,r210,,r210,r210,r210,r210,r210,r210,,r210,r210,r210,r210,r210,,r210,,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,,r210,r210,r210,r210,r210,r210,r210,r210,r210,r210,,r210,r210,r210,r210,r210,r210,r210,r210,r210,,r210,r210
380,,,s92,,s87,s86,,s88,s89,,s90,,,,,,,,,,,,,,s91,,,s84,,,,,,,,,,,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,,s74,,,,,,,,,,s80,,,s78,,,,,,,,,,,,,,,
381,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,,,r209,r209,r209,,r209,,r209,,r209,r209,r209,,r209,r209,r209,r209,r209,r209,,r209,r209,r209,r209,r209,,r209,,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,,r209,r209,r209,r209,r209,r209,r209,r209,r209,r209,,r209,r209,r209,r209,r209,r209,r209,r209,r209,,r209,r209
382,,,,,,,,,,,,,,,,,,,,s430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,,,r221,r221,r221,,r221,,r221,,r221,r221,r221,,r221,r221,r221,r221,r221,r221,,r221,r221,r221,r221,r221,,r221,,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,,r221,r221,r221,r221,r221,r221,r221,r221,r221,r221,,r221,r221,r221,r221,r221,r221,r221,r221,r221,,r221,r221
384,,,,,,,s431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,s92,,s87,s86,,s88,s89,,s90,,,,,,,,,,,,,,s91,,,s84,,,s120,,,,,,,s8,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,,s74,,,,s9,,,,,,s80,,,s78,,,,,,,,,,,,s10,,,
386,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,,,r211,r211,r211,,r211,,r211,,r211,r211,r211,,r211,r211,r211,r211,r211,r211,,r211,r211,r211,r211,r211,,r211,,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,,r211,r211,r211,r211,r211,r211,r211,r211,r211,r211,,r211,r211,r211,r211,r211,r211,r211,r211,r211,,r211,r211
387,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,s434,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,,r37,r37,r37,,r37,,r37,,r37,r37,r37,,r37,r37,r37,r37,r37,r37,,r37,r37,r37,r37,r37,,r37,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,r37,r37,r37,r37,r37,r37,r37,r37,r37,,r37,r37
388,,,,,,,,,,,,,,,,,,,,s435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,,s92,,s87,s86,,s88,s89,,s90,,,,,,,,,s437,,,,,s91,,,s84,,,s120,,,,,,,s8,,s82,,,,,,,,,s83,,,,,,,s79,s77,s85,,,s75,,,,s81,,,s76,,,,,,,,,,,,,s74,,,,s9,,,,,,s80,s436,,s78,,,,,,,,,,,,s10,,,
390,,,,,,,,,,,,,,,s439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,,,r245,r245,r245,,r245,,r245,,r245,r245,r245,,r245,r245,r245,r245,r245,r245,,r245,r245,r245,r245,r245,,r245,,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,,r245,r245,r245,r245,r245,r245,r245,r245,r245,r245,,r245,r245,r245,r245,r245,r245,r245,r245,r245,,r245,r245
